User_ID,Timestamp,Destination,Duration_Days,Travelers_Count,Budget_Allocated,Review_Text,Sentiment_Label,Polarity_Score
USR-0395,2025-01-15 03:50:30,Dubai,7,6,2507.28,A decent trip to Dubai. Nothing extraordinary but no major complaints.,Neutral,-0.0478
USR-1008,2025-01-15 20:30:39,Chennai,3,7,538.69,Chennai exceeded every expectation. The AI concierge recommendations were spot-on.,Positive,0.7041
USR-0882,2025-01-16 11:29:04,Dubai,10,4,3770.06,Long wait times at Dubai attractions despite having smart-pass tickets.,Negative,-0.6529
USR-1122,2025-01-19 10:47:13,Bangkok,2,3,252.25,Five-star experience in Bangkok. The hotel AI check-in saved us so much time.,Positive,0.4381
USR-1115,2025-01-20 04:32:53,Tokyo,5,5,1717.88,Standard tourism experience in Tokyo. The AR guide was useful but buggy.,Neutral,-0.0067
USR-0097,2025-01-20 06:03:04,Madurai,3,7,291.15,Mixed feelings about Madurai. The tech was impressive but the food was mediocre.,Neutral,-0.0443
USR-1086,2025-01-20 15:06:24,Dubai,9,2,5141.28,Dubai has potential but the smart city rollout still feels incomplete.,Neutral,0.1446
USR-0217,2025-01-21 02:09:23,Kuala Lumpur,10,5,1481.18,The autonomous transit in Kuala Lumpur was world-class. Highly recommend for families.,Positive,0.9156
USR-0461,2025-01-21 03:03:34,Singapore,4,2,812.74,"Visited Singapore for 3 days. Some good moments, some forgettable ones.",Neutral,0.0545
USR-0413,2025-01-21 17:10:06,Abu Dhabi,8,6,2086.7,The heritage walk in Abu Dhabi combined with AR guides was next-level tourism.,Positive,0.6282
USR-0105,2025-01-22 10:30:40,Chennai,9,6,910.43,"Chennai was okay overall. Some attractions were great, others were average.",Neutral,-0.1661
USR-0232,2025-01-23 10:09:55,Chennai,8,2,734.98,"Visited Chennai for 3 days. Some good moments, some forgettable ones.",Neutral,-0.0018
USR-0909,2025-01-25 01:45:18,Dubai,10,8,1985.53,Dubai has potential but the smart city rollout still feels incomplete.,Neutral,0.001
USR-0155,2025-01-25 02:26:27,Chennai,2,1,187.95,Chennai exceeded every expectation. The AI concierge recommendations were spot-on.,Positive,0.3493
USR-0851,2025-01-25 03:24:43,Dubai,5,3,2017.41,The heritage walk in Dubai combined with AR guides was next-level tourism.,Positive,0.8002
USR-0453,2025-01-25 04:30:11,Kuala Lumpur,6,3,442.3,Amazing dining and cultural immersion in Kuala Lumpur. Would visit again in a heartbeat!,Positive,0.8354
USR-0050,2025-01-25 09:34:47,Tokyo,4,2,1358.97,Safety concerns near the old quarter in Tokyo. Not enough patrol drones visible.,Negative,-0.9926
USR-0586,2025-01-25 15:34:51,Dubai,2,8,952.38,A decent trip to Dubai. Nothing extraordinary but no major complaints.,Neutral,-0.0454
USR-0003,2025-01-25 16:28:19,Singapore,2,7,489.58,"Singapore was okay overall. Some attractions were great, others were average.",Neutral,-0.1273
USR-0022,2025-01-25 22:23:30,Madurai,1,4,113.91,Our trip to Madurai was seamless. Loved the eco-friendly pod shuttles.,Positive,0.7706
USR-0744,2025-01-26 00:49:05,Dubai,4,5,1977.45,Five-star experience in Dubai. The hotel AI check-in saved us so much time.,Positive,0.3284
USR-0207,2025-01-26 08:27:03,Chennai,8,5,1190.94,Chennai exceeded every expectation. The AI concierge recommendations were spot-on.,Positive,0.2158
USR-0297,2025-01-26 09:52:32,Singapore,7,5,1938.92,Our trip to Singapore was seamless. Loved the eco-friendly pod shuttles.,Positive,0.2514
USR-0929,2025-01-27 23:23:09,Chennai,2,7,232.86,Chennai was overpriced for what it offered. Not worth the luxury tier budget.,Negative,-0.5293
USR-0454,2025-01-28 00:41:59,Chennai,10,8,1705.03,Chennai was overpriced for what it offered. Not worth the luxury tier budget.,Negative,-0.6152
USR-0249,2025-01-29 18:05:44,Kuala Lumpur,3,8,794.83,Amazing dining and cultural immersion in Kuala Lumpur. Would visit again in a heartbeat!,Positive,0.8989
USR-0941,2025-01-30 02:24:38,Tokyo,10,8,2348.12,Mixed feelings about Tokyo. The tech was impressive but the food was mediocre.,Neutral,-0.0355
USR-0554,2025-01-30 02:25:12,Chennai,3,5,394.45,"Chennai was okay overall. Some attractions were great, others were average.",Neutral,-0.1734
USR-0100,2025-01-31 01:52:44,Abu Dhabi,2,7,727.13,Five-star experience in Abu Dhabi. The hotel AI check-in saved us so much time.,Positive,0.4629
USR-0384,2025-01-31 09:39:43,Bangkok,2,3,254.98,Bangkok exceeded every expectation. The AI concierge recommendations were spot-on.,Positive,0.752
USR-1023,2025-01-31 14:34:32,Dubai,5,3,1511.18,Brilliant night-life in Dubai. The city grid lighting was mesmerising.,Positive,0.2409
USR-1113,2025-01-31 23:21:56,Chennai,10,4,1701.14,"Visited Chennai for 3 days. Some good moments, some forgettable ones.",Neutral,-0.0635
USR-1103,2025-02-01 00:32:47,Singapore,8,3,1257.18,Singapore was overpriced for what it offered. Not worth the luxury tier budget.,Negative,-0.3719
USR-0438,2025-02-02 13:11:00,Abu Dhabi,1,4,335.43,A decent trip to Abu Dhabi. Nothing extraordinary but no major complaints.,Neutral,0.0914
USR-0541,2025-02-02 16:10:34,Chennai,3,5,322.89,Stunning waterfront views in Chennai. The smart park technology was a highlight!,Positive,0.8421
USR-0011,2025-02-03 17:58:29,Chennai,10,5,1529.02,"Visited Chennai for 3 days. Some good moments, some forgettable ones.",Neutral,-0.0753
USR-0247,2025-02-03 21:38:40,Dubai,4,7,1432.91,Our trip to Dubai was seamless. Loved the eco-friendly pod shuttles.,Positive,0.9513
USR-0402,2025-02-03 22:29:09,Chennai,3,8,337.56,Chennai has potential but the smart city rollout still feels incomplete.,Neutral,0.0198
USR-0816,2025-02-04 04:55:33,Tokyo,9,1,3533.29,"Tokyo was okay overall. Some attractions were great, others were average.",Neutral,0.0144
USR-0110,2025-02-04 11:25:29,Chennai,4,5,433.81,The heritage walk in Chennai combined with AR guides was next-level tourism.,Positive,0.7194
USR-0584,2025-02-05 04:15:47,Chennai,4,2,420.86,The heritage walk in Chennai combined with AR guides was next-level tourism.,Positive,0.9848
USR-0516,2025-02-05 04:30:56,Kuala Lumpur,7,1,1112.85,"Kuala Lumpur was okay overall. Some attractions were great, others were average.",Neutral,0.066
USR-0292,2025-02-05 05:19:32,Chennai,2,3,268.16,Disappointed with Chennai. The transit pods were frequently delayed or overcrowded.,Negative,-0.7052
USR-0353,2025-02-05 06:38:27,Dubai,8,5,4113.61,Dubai exceeded every expectation. The AI concierge recommendations were spot-on.,Positive,0.6956
USR-0486,2025-02-05 07:28:09,Madurai,1,2,54.76,Fantastic culinary tour in Madurai. The food markets were vibrant and authentic.,Positive,0.61
USR-0626,2025-02-05 12:11:51,Tokyo,6,7,1339.2,Fantastic culinary tour in Tokyo. The food markets were vibrant and authentic.,Positive,0.7423
USR-1004,2025-02-05 12:15:06,Tokyo,3,2,1221.88,Language barrier issues in Tokyo despite the AI translator app promising full coverage.,Negative,-0.9366
USR-0765,2025-02-05 16:26:17,Kuala Lumpur,6,1,1157.54,The autonomous transit in Kuala Lumpur was world-class. Highly recommend for families.,Positive,0.3635
USR-0441,2025-02-07 03:07:54,Chennai,5,6,494.28,"Visited Chennai for 3 days. Some good moments, some forgettable ones.",Neutral,0.0023
USR-1013,2025-02-07 11:09:59,Tokyo,2,1,525.26,"Visited Tokyo for 3 days. Some good moments, some forgettable ones.",Neutral,-0.0241
USR-0505,2025-02-07 19:03:12,Kuala Lumpur,10,6,2158.56,Absolutely loved the Kuala Lumpur experience! The smart city infrastructure was incredible.,Positive,0.5674
USR-0129,2025-02-09 00:08:18,Chennai,3,8,546.14,Poor waste management in certain Chennai tourist zones. Expected better.,Negative,-0.5839
USR-1052,2025-02-09 02:36:19,Kuala Lumpur,6,5,1335.3,Poor waste management in certain Kuala Lumpur tourist zones. Expected better.,Negative,-0.363
USR-0859,2025-02-09 07:57:18,Chennai,1,8,36.64,Amazing dining and cultural immersion in Chennai. Would visit again in a heartbeat!,Positive,0.8713
USR-0616,2025-02-10 00:42:44,Dubai,2,4,536.15,A decent trip to Dubai. Nothing extraordinary but no major complaints.,Neutral,0.1567
USR-0659,2025-02-11 16:58:26,Dubai,2,6,508.71,The smart kiosk in Dubai kept malfunctioning. Ruined our booking experience.,Negative,-0.5479
USR-1060,2025-02-12 03:45:47,Singapore,6,6,2163.44,Mixed feelings about Singapore. The tech was impressive but the food was mediocre.,Neutral,-0.0281
USR-0191,2025-02-12 08:26:19,Bangkok,5,1,662.54,Standard tourism experience in Bangkok. The AR guide was useful but buggy.,Neutral,0.0365
USR-1185,2025-02-13 10:16:31,Madurai,10,3,860.72,Madurai was overpriced for what it offered. Not worth the luxury tier budget.,Negative,-0.842
USR-0649,2025-02-13 14:03:29,Kuala Lumpur,9,8,974.19,Absolutely loved the Kuala Lumpur experience! The smart city infrastructure was incredible.,Positive,0.3074
USR-0881,2025-02-13 15:02:49,Chennai,1,2,47.18,Mixed feelings about Chennai. The tech was impressive but the food was mediocre.,Neutral,-0.0029
USR-0040,2025-02-14 23:48:12,Singapore,5,4,1058.98,Poor waste management in certain Singapore tourist zones. Expected better.,Negative,-0.5714
USR-0067,2025-02-15 10:12:27,Tokyo,5,4,1818.9,Standard tourism experience in Tokyo. The AR guide was useful but buggy.,Neutral,0.1193
USR-0872,2025-02-15 12:13:10,Dubai,1,5,327.05,Five-star experience in Dubai. The hotel AI check-in saved us so much time.,Positive,0.8677
USR-0063,2025-02-15 13:02:35,Bangkok,4,7,360.91,Bangkok was overpriced for what it offered. Not worth the luxury tier budget.,Negative,-0.508
USR-0797,2025-02-16 23:13:16,Tokyo,4,1,1393.92,The heritage walk in Tokyo combined with AR guides was next-level tourism.,Positive,0.3992
USR-0300,2025-02-17 00:44:07,Dubai,9,6,968.51,The hotel in Dubai was nothing like the virtual tour preview. Very misleading.,Negative,-0.3119
USR-0056,2025-02-17 01:54:07,Singapore,1,2,305.59,Singapore has potential but the smart city rollout still feels incomplete.,Neutral,0.0011
USR-1089,2025-02-18 04:22:32,Tokyo,5,3,2037.52,Stunning waterfront views in Tokyo. The smart park technology was a highlight!,Positive,0.7422
USR-0311,2025-02-19 08:48:27,Madurai,9,2,1186.93,Madurai has potential but the smart city rollout still feels incomplete.,Neutral,0.0106
USR-0951,2025-02-20 23:11:20,Chennai,1,3,156.02,A decent trip to Chennai. Nothing extraordinary but no major complaints.,Neutral,-0.0703
USR-0388,2025-02-21 04:41:09,Bangkok,1,6,115.76,Safety concerns near the old quarter in Bangkok. Not enough patrol drones visible.,Negative,-0.3264
USR-0023,2025-02-21 09:50:42,Kuala Lumpur,7,5,1037.46,Poor waste management in certain Kuala Lumpur tourist zones. Expected better.,Negative,-0.5818
USR-0432,2025-02-22 11:24:05,Singapore,1,6,349.59,Safety concerns near the old quarter in Singapore. Not enough patrol drones visible.,Negative,-0.4015
USR-0429,2025-02-22 13:38:02,Dubai,9,6,1870.37,Standard tourism experience in Dubai. The AR guide was useful but buggy.,Neutral,-0.1177
USR-0636,2025-02-22 19:00:51,Dubai,3,4,1227.54,Amazing dining and cultural immersion in Dubai. Would visit again in a heartbeat!,Positive,0.4346
USR-0780,2025-02-23 03:17:05,Chennai,3,3,440.2,Standard tourism experience in Chennai. The AR guide was useful but buggy.,Neutral,0.0335
USR-0304,2025-02-23 06:59:09,Madurai,3,4,242.02,Brilliant night-life in Madurai. The city grid lighting was mesmerising.,Positive,0.4805
USR-0079,2025-02-23 10:21:46,Singapore,3,6,1317.49,Singapore exceeded every expectation. The AI concierge recommendations were spot-on.,Positive,0.5357
USR-0823,2025-02-23 12:52:54,Tokyo,1,7,317.14,Long wait times at Tokyo attractions despite having smart-pass tickets.,Negative,-0.3221
USR-0014,2025-02-24 00:36:07,Dubai,6,4,2202.82,Absolutely loved the Dubai experience! The smart city infrastructure was incredible.,Positive,0.4603
USR-0240,2025-02-24 05:21:15,Singapore,9,3,2660.19,A decent trip to Singapore. Nothing extraordinary but no major complaints.,Neutral,-0.1864
USR-0886,2025-02-26 08:05:13,Dubai,2,6,757.74,Our trip to Dubai was seamless. Loved the eco-friendly pod shuttles.,Positive,0.8612
USR-0617,2025-02-26 12:47:53,Abu Dhabi,7,1,2415.99,Mixed feelings about Abu Dhabi. The tech was impressive but the food was mediocre.,Neutral,-0.1643
USR-0491,2025-02-26 16:18:56,Abu Dhabi,5,8,1468.78,"Visited Abu Dhabi for 3 days. Some good moments, some forgettable ones.",Neutral,-0.1578
USR-0665,2025-02-27 02:15:50,Bangkok,5,4,503.89,The autonomous transit in Bangkok was world-class. Highly recommend for families.,Positive,0.514
USR-0695,2025-02-27 10:48:36,Dubai,7,7,2757.65,Dubai has potential but the smart city rollout still feels incomplete.,Neutral,0.0908
USR-0653,2025-02-27 17:56:53,Chennai,5,1,315.21,Stunning waterfront views in Chennai. The smart park technology was a highlight!,Positive,0.24
USR-0856,2025-02-28 05:51:44,Bangkok,10,5,1075.12,"Bangkok was okay overall. Some attractions were great, others were average.",Neutral,-0.0409
USR-0452,2025-02-28 06:52:07,Singapore,5,1,1250.14,The heritage walk in Singapore combined with AR guides was next-level tourism.,Positive,0.5301
USR-0757,2025-02-28 15:43:31,Dubai,7,8,1953.29,"Visited Dubai for 3 days. Some good moments, some forgettable ones.",Neutral,-0.1579
USR-0660,2025-03-01 01:04:58,Kuala Lumpur,7,4,1215.34,Our trip to Kuala Lumpur was seamless. Loved the eco-friendly pod shuttles.,Positive,0.2097
USR-0575,2025-03-02 15:56:24,Singapore,9,6,2950.68,The smart kiosk in Singapore kept malfunctioning. Ruined our booking experience.,Negative,-0.6476
USR-0481,2025-03-03 06:03:18,Dubai,9,5,3330.51,Stunning waterfront views in Dubai. The smart park technology was a highlight!,Positive,0.6187
USR-0015,2025-03-03 23:25:48,Abu Dhabi,4,5,1074.17,Abu Dhabi exceeded every expectation. The AI concierge recommendations were spot-on.,Positive,0.4247
USR-0415,2025-03-05 09:14:08,Bangkok,4,7,517.24,A decent trip to Bangkok. Nothing extraordinary but no major complaints.,Neutral,-0.1561
USR-0445,2025-03-06 03:59:24,Dubai,6,5,1974.59,The heritage walk in Dubai combined with AR guides was next-level tourism.,Positive,0.8401
USR-0737,2025-03-06 05:05:31,Abu Dhabi,8,3,3252.54,Standard tourism experience in Abu Dhabi. The AR guide was useful but buggy.,Neutral,-0.0925
USR-0836,2025-03-07 22:41:44,Abu Dhabi,6,8,900.83,Fantastic culinary tour in Abu Dhabi. The food markets were vibrant and authentic.,Positive,0.8579
USR-0198,2025-03-08 03:53:13,Singapore,10,5,3644.92,Singapore exceeded every expectation. The AI concierge recommendations were spot-on.,Positive,0.9689
USR-0328,2025-03-08 07:18:25,Chennai,2,2,332.87,"Chennai was okay overall. Some attractions were great, others were average.",Neutral,-0.0185
USR-0177,2025-03-08 11:56:28,Singapore,9,4,2748.49,Singapore exceeded every expectation. The AI concierge recommendations were spot-on.,Positive,0.6961
USR-0041,2025-03-08 12:41:45,Chennai,10,2,803.79,"Visited Chennai for 3 days. Some good moments, some forgettable ones.",Neutral,-0.1837
USR-0664,2025-03-08 13:27:14,Dubai,10,7,3252.97,Fantastic culinary tour in Dubai. The food markets were vibrant and authentic.,Positive,0.9356
USR-0745,2025-03-09 13:28:50,Chennai,5,6,758.07,Five-star experience in Chennai. The hotel AI check-in saved us so much time.,Positive,0.8513
USR-0934,2025-03-09 14:18:32,Bangkok,6,2,587.71,The heritage walk in Bangkok combined with AR guides was next-level tourism.,Positive,0.56
USR-1123,2025-03-09 23:30:28,Dubai,6,1,2378.62,The autonomous transit in Dubai was world-class. Highly recommend for families.,Positive,0.298
USR-0551,2025-03-11 11:40:07,Chennai,5,1,633.73,Fantastic culinary tour in Chennai. The food markets were vibrant and authentic.,Positive,0.7429
USR-0503,2025-03-11 22:38:12,Kuala Lumpur,8,1,1277.75,Kuala Lumpur has potential but the smart city rollout still feels incomplete.,Neutral,-0.125
USR-0285,2025-03-12 03:22:03,Madurai,7,6,462.84,Madurai has potential but the smart city rollout still feels incomplete.,Neutral,-0.0905
USR-1058,2025-03-12 14:24:56,Abu Dhabi,9,1,2177.02,Language barrier issues in Abu Dhabi despite the AI translator app promising full coverage.,Negative,-0.2827
USR-0579,2025-03-12 15:16:30,Madurai,10,8,1075.24,Brilliant night-life in Madurai. The city grid lighting was mesmerising.,Positive,0.6965
USR-0412,2025-03-13 05:39:53,Kuala Lumpur,3,7,179.7,Mixed feelings about Kuala Lumpur. The tech was impressive but the food was mediocre.,Neutral,-0.1956
USR-1108,2025-03-13 09:59:21,Abu Dhabi,7,7,2069.6,Our trip to Abu Dhabi was seamless. Loved the eco-friendly pod shuttles.,Positive,0.2002
USR-0760,2025-03-14 08:17:10,Bangkok,10,1,1045.85,Long wait times at Bangkok attractions despite having smart-pass tickets.,Negative,-0.5545
USR-0061,2025-03-14 10:32:38,Bangkok,1,1,91.89,Mixed feelings about Bangkok. The tech was impressive but the food was mediocre.,Neutral,0.1405
USR-0769,2025-03-14 11:59:00,Kuala Lumpur,3,5,505.82,Safety concerns near the old quarter in Kuala Lumpur. Not enough patrol drones visible.,Negative,-0.3253
USR-0122,2025-03-14 12:51:48,Tokyo,10,6,4756.74,Tokyo exceeded every expectation. The AI concierge recommendations were spot-on.,Positive,0.2211
USR-0852,2025-03-15 13:48:25,Dubai,8,4,3783.18,Five-star experience in Dubai. The hotel AI check-in saved us so much time.,Positive,0.481
USR-1032,2025-03-15 18:53:59,Chennai,7,2,250.42,Disappointed with Chennai. The transit pods were frequently delayed or overcrowded.,Negative,-0.4865
USR-0325,2025-03-15 20:31:42,Tokyo,7,7,2563.44,Our trip to Tokyo was seamless. Loved the eco-friendly pod shuttles.,Positive,0.5562
USR-0913,2025-03-16 12:00:08,Singapore,5,4,1690.68,Absolutely loved the Singapore experience! The smart city infrastructure was incredible.,Positive,0.3171
USR-0513,2025-03-17 02:16:24,Dubai,2,3,874.26,Dubai has potential but the smart city rollout still feels incomplete.,Neutral,0.0777
USR-0498,2025-03-17 04:42:00,Tokyo,4,3,1142.76,Disappointed with Tokyo. The transit pods were frequently delayed or overcrowded.,Negative,-0.8783
USR-0054,2025-03-17 06:55:16,Singapore,4,2,1243.83,The heritage walk in Singapore combined with AR guides was next-level tourism.,Positive,0.4942
USR-1063,2025-03-17 16:21:27,Singapore,8,2,3392.22,Poor waste management in certain Singapore tourist zones. Expected better.,Negative,-0.9347
USR-0701,2025-03-18 14:09:34,Chennai,2,1,295.91,Language barrier issues in Chennai despite the AI translator app promising full coverage.,Negative,-0.8566
USR-0322,2025-03-19 00:49:13,Dubai,10,7,1923.61,The smart kiosk in Dubai kept malfunctioning. Ruined our booking experience.,Negative,-0.4948
USR-0250,2025-03-19 22:55:54,Bangkok,9,6,1023.05,Bangkok has potential but the smart city rollout still feels incomplete.,Neutral,-0.0329
USR-0784,2025-03-20 00:48:19,Kuala Lumpur,4,2,692.64,Kuala Lumpur was overpriced for what it offered. Not worth the luxury tier budget.,Negative,-0.4767
USR-0188,2025-03-20 01:56:32,Bangkok,10,5,1626.59,Mixed feelings about Bangkok. The tech was impressive but the food was mediocre.,Neutral,-0.139
USR-0903,2025-03-20 18:45:55,Singapore,6,7,1416.06,Singapore has potential but the smart city rollout still feels incomplete.,Neutral,-0.0581
USR-0163,2025-03-21 03:34:40,Dubai,10,4,3433.92,Language barrier issues in Dubai despite the AI translator app promising full coverage.,Negative,-0.5739
USR-0009,2025-03-21 09:20:15,Bangkok,4,6,411.89,"Bangkok was okay overall. Some attractions were great, others were average.",Neutral,0.0737
USR-0002,2025-03-21 14:38:54,Dubai,4,3,2009.21,Brilliant night-life in Dubai. The city grid lighting was mesmerising.,Positive,0.8929
USR-0778,2025-03-22 03:48:57,Chennai,2,2,341.99,Our trip to Chennai was seamless. Loved the eco-friendly pod shuttles.,Positive,0.7293
USR-1171,2025-03-22 04:15:13,Bangkok,1,6,186.23,Language barrier issues in Bangkok despite the AI translator app promising full coverage.,Negative,-0.9452
USR-0671,2025-03-22 05:31:11,Tokyo,8,7,2632.01,Absolutely loved the Tokyo experience! The smart city infrastructure was incredible.,Positive,0.5493
USR-0383,2025-03-22 09:24:53,Singapore,1,8,227.12,A decent trip to Singapore. Nothing extraordinary but no major complaints.,Neutral,0.0249
USR-1039,2025-03-22 13:21:08,Bangkok,1,3,132.04,The heritage walk in Bangkok combined with AR guides was next-level tourism.,Positive,0.3797
USR-0832,2025-03-22 17:45:00,Dubai,7,5,2059.8,Mixed feelings about Dubai. The tech was impressive but the food was mediocre.,Neutral,-0.138
USR-0906,2025-03-23 08:12:59,Abu Dhabi,6,5,1476.9,The autonomous transit in Abu Dhabi was world-class. Highly recommend for families.,Positive,0.7407
USR-1019,2025-03-23 11:44:35,Abu Dhabi,3,7,1543.56,Standard tourism experience in Abu Dhabi. The AR guide was useful but buggy.,Neutral,-0.1118
USR-0938,2025-03-24 01:10:32,Dubai,10,2,3955.9,Fantastic culinary tour in Dubai. The food markets were vibrant and authentic.,Positive,0.5268
USR-1065,2025-03-24 13:59:24,Dubai,9,6,4265.63,Absolutely loved the Dubai experience! The smart city infrastructure was incredible.,Positive,0.2111
USR-0271,2025-03-24 20:09:39,Dubai,7,8,2863.46,Mixed feelings about Dubai. The tech was impressive but the food was mediocre.,Neutral,0.1402
USR-0507,2025-03-25 11:53:27,Dubai,5,1,2170.31,The heritage walk in Dubai combined with AR guides was next-level tourism.,Positive,0.2805
USR-0900,2025-03-25 21:54:39,Chennai,6,5,827.81,Absolutely loved the Chennai experience! The smart city infrastructure was incredible.,Positive,0.5262
USR-1193,2025-03-26 07:53:37,Chennai,7,3,703.28,Absolutely loved the Chennai experience! The smart city infrastructure was incredible.,Positive,0.356
USR-0698,2025-03-26 22:47:37,Chennai,6,2,923.78,Mixed feelings about Chennai. The tech was impressive but the food was mediocre.,Neutral,-0.1954
USR-0029,2025-03-27 04:00:28,Tokyo,2,1,656.5,Amazing dining and cultural immersion in Tokyo. Would visit again in a heartbeat!,Positive,0.846
USR-0421,2025-03-28 08:40:23,Chennai,3,7,618.88,A decent trip to Chennai. Nothing extraordinary but no major complaints.,Neutral,0.0637
USR-0039,2025-03-28 21:21:55,Singapore,8,1,2714.62,A decent trip to Singapore. Nothing extraordinary but no major complaints.,Neutral,-0.0529
USR-0090,2025-03-28 21:28:49,Dubai,7,1,2014.11,"Dubai was okay overall. Some attractions were great, others were average.",Neutral,-0.1907
USR-0557,2025-03-29 11:53:16,Chennai,5,4,853.14,Safety concerns near the old quarter in Chennai. Not enough patrol drones visible.,Negative,-0.4782
USR-1038,2025-03-29 19:31:37,Dubai,7,3,2416.34,Amazing dining and cultural immersion in Dubai. Would visit again in a heartbeat!,Positive,0.8259
USR-1114,2025-03-30 01:26:42,Abu Dhabi,6,7,1617.96,The hotel in Abu Dhabi was nothing like the virtual tour preview. Very misleading.,Negative,-0.5929
USR-0235,2025-03-30 03:04:06,Abu Dhabi,2,4,606.6,Five-star experience in Abu Dhabi. The hotel AI check-in saved us so much time.,Positive,0.3481
USR-0210,2025-03-31 03:35:07,Tokyo,4,7,1152.56,Standard tourism experience in Tokyo. The AR guide was useful but buggy.,Neutral,-0.0411
USR-0362,2025-03-31 10:59:14,Chennai,7,5,1103.42,The heritage walk in Chennai combined with AR guides was next-level tourism.,Positive,0.7449
USR-1083,2025-03-31 15:18:35,Dubai,3,6,1172.42,A decent trip to Dubai. Nothing extraordinary but no major complaints.,Neutral,-0.1413
USR-0083,2025-03-31 15:44:46,Dubai,3,5,1539.72,The autonomous transit in Dubai was world-class. Highly recommend for families.,Positive,0.7081
USR-0918,2025-03-31 17:14:32,Dubai,2,8,783.92,Language barrier issues in Dubai despite the AI translator app promising full coverage.,Negative,-0.3557
USR-0293,2025-04-01 04:38:33,Tokyo,5,8,1745.66,The autonomous transit in Tokyo was world-class. Highly recommend for families.,Positive,0.8167
USR-0727,2025-04-01 20:05:08,Dubai,4,5,1390.58,Dubai was overpriced for what it offered. Not worth the luxury tier budget.,Negative,-0.9259
USR-0809,2025-04-02 16:44:12,Dubai,3,5,1237.65,"Dubai was okay overall. Some attractions were great, others were average.",Neutral,0.0373
USR-0821,2025-04-03 17:47:40,Singapore,2,6,654.43,Brilliant night-life in Singapore. The city grid lighting was mesmerising.,Positive,0.4292
USR-0806,2025-04-03 18:34:44,Bangkok,5,3,885.14,"Bangkok was okay overall. Some attractions were great, others were average.",Neutral,-0.0231
